codpub,codpuf,numpub,codpug,numpug,dtapub,recatt
1,4,140,,,19/06/2001,t
2,4,224,,,26/09/2001,t
3,4,271,,,24/11/2001,t
4,4,176,5,136,31/07/2009,t
5,4,177,,,2020-07-15 00:00:00,t
6,4,251,,,1930-10-26 00:00:00,t
7,4,97,,,1990-04-27 00:00:00,t
8,4,51,,,1992-03-02 00:00:00,t
9,4,250,5,176,2000-10-25 00:00:00,t
10,4,13,,,2019-01-16 00:00:00,t
11,4,265,,,2012-11-13 00:00:00,t
12,4,329,5,,1981-11-30 00:00:00,t
13,4,170,5,128,2009-07-24 00:00:00,t
14,4,95,,,2018-04-24 00:00:00,t
15,4,69,,,1990-03-23 00:00:00,t
16,4,258,,,2017-11-04 00:00:00,t
17,4,305,,,1993-12-30 00:00:00,t
18,4,191,,,2013-08-16 00:00:00,t
19,4,242,,,2013-10-15 00:00:00,t
20,4,299,,,1986-12-27 00:00:00,t
21,4,42,5,36,1992-02-20 00:00:00,t
22,4,161,5,110,2003-07-14 00:00:00,t
23,4,146,5,138,2010-06-25 00:00:00,t
24,4,124,,,2015-05-30 00:00:00,t
25,4,172,,,1997-07-25 00:00:00,t
26,4,178,5,24,2020-07-16 00:00:00,t
27,4,228,5,33,2020-09-14 00:00:00,t
28,4,125,5,114,2010-05-31 00:00:00,t
29,4,176,5,174,2010-07-30 00:00:00,t
30,4,161,,,2016-07-15 00:00:00,t
31,4,80,5,79,2008-04-04 00:00:00,t
32,4,222,,,2019-09-21 00:00:00,t
33,4,272,,,2019-11-20 00:00:00,t
34,4,17,,,2016-01-22 00:00:00,t
35,4,195,,,2003-08-23 00:00:00,t
36,4,235,,,2012-10-08 00:00:00,t
37,4,299,,,2016-12-23 00:00:00,t
38,4,253,,,1982-09-14 00:00:00,t
39,4,133,,,1992-06-08 00:00:00,t
40,4,185,,,1992-08-07 00:00:00,t
41,4,285,,,2005-12-07 00:00:00,t
42,4,122,,,2008-05-26 00:00:00,t
43,4,173,,,2008-07-25 00:00:00,t
44,4,90,,,2014-04-17 00:00:00,t
45,4,154,,,2017-07-04 00:00:00,t
46,4,122,,,2019-05-27 00:00:00,t
47,4,272,,,1974-10-22 00:00:00,t
48,4,80,,,1978-03-22 00:00:00,t
49,4,137,,,1978-05-19 00:00:00,t
50,4,355,,,1980-12-30 00:00:00,t
51,4,255,5,67,1990-10-31 00:00:00,t
52,4,95,,,2011-04-26 00:00:00,t
53,4,262,,,2016-11-09 00:00:00,t
54,4,250,5,92,1988-10-24 00:00:00,t
55,4,184,,,1995-08-08 00:00:00,t
56,4,296,,,1999-12-18 00:00:00,t
57,4,275,,,2000-11-24 00:00:00,t
58,4,16,,,2001-01-20 00:00:00,t
59,4,79,,,2001-04-04 00:00:00,t
60,4,80,,,2001-04-05 00:00:00,t
61,4,121,,,2001-05-26 00:00:00,t
62,4,244,,,2001-10-19 00:00:00,t
63,4,293,,,2001-12-18 00:00:00,t
64,4,62,,,2005-03-16 00:00:00,t
65,4,111,5,91,2005-05-14 00:00:00,t
66,4,88,,,2002-04-15 00:00:00,t
67,4,301,5,208,2005-12-28 00:00:00,t
68,4,75,,,2017-03-30 00:00:00,t
69,4,79,,,1942-04-04 00:00:00,t
70,4,40,,,1986-02-18 00:00:00,t
71,4,19,,,1991-01-23 00:00:00,t
72,4,68,5,58,2010-03-23 00:00:00,t
73,4,35,,,1970-02-10 00:00:00,t
74,4,306,5,138,1992-12-31 00:00:00,t
75,4,275,,,2000-11-24 00:00:00,t
76,4,121,,,1994-05-26 00:00:00,t
77,4,71,5,52,1998-03-26 00:00:00,t
78,4,267,,,2015-11-16 00:00:00,t
79,4,7,5,5,2007-01-10 00:00:00,t
80,4,21,,,2003-01-27 00:00:00,t
81,4,14,,,2006-01-18 00:00:00,t
82,4,5,,,2014-01-08 00:00:00,t
83,4,38,,,2006-02-15 00:00:00,t
84,4,68,,,2014-03-22 00:00:00,t
85,4,257,,,2016-11-03 00:00:00,t
86,4,163,,,2010-07-15 00:00:00,t
87,4,60,,,2014-03-13 00:00:00,t
88,4,185,,,1998-08-10 00:00:00,t
89,4,68,,,2018-03-22 00:00:00,t
90,4,188,,,2011-08-13 00:00:00,t
91,4,216,,,2011-09-16 00:00:00,t
92,4,96,5,76,2005-04-27 00:00:00,t
93,4,185,,,2007-08-10 00:00:00,t
94,4,101,5,108,2008-04-30 00:00:00,t
95,4,125,,,1966-05-23 00:00:00,t
96,4,64,,,2006-03-17 00:00:00,t
97,4,70,,,2016-03-24 00:00:00,t
98,4,25,,,2018-01-31 00:00:00,t
99,4,290,5,268,2007-12-14 00:00:00,t
100,4,292,,,2014-12-17 00:00:00,t
101,4,136,,,1975-05-24 00:00:00,t
102,4,202,5,80,1993-08-28 00:00:00,t
103,4,166,,,1941-07-16 00:00:00,t
104,4,154,5,,1976-06-12 00:00:00,t
105,4,210,,,1981-08-01 00:00:00,t
106,4,306,5,138,1992-12-31 00:00:00,t
107,4,206,,,2000-09-04 00:00:00,t
108,4,24,,,2005-01-31 00:00:00,t
109,4,75,,,2005-04-01 00:00:00,t
110,4,293,,,1994-12-16 00:00:00,t
111,4,302,5,243,2009-12-30 00:00:00,t
112,4,96,,,1996-04-24 00:00:00,t
113,4,87,5,61,2003-04-14 00:00:00,t
114,4,177,,,2011-08-01 00:00:00,t
115,4,68,,,2001-03-22 00:00:00,t
116,4,122,,,2015-05-28 00:00:00,t
117,4,88,5,96,2006-04-14 00:00:00,t
118,4,59,,,2010-03-12 00:00:00,t
119,4,72,5,27,2014-03-27 00:00:00,t
120,4,24,5,24,2008-01-29 00:00:00,t
121,4,302,5,62,2017-12-29 00:00:00,t
122,4,226,,,2020-09-11 00:00:00,t
123,4,288,5,269,2010-12-10 00:00:00,t
124,4,290,,,2018-12-14 00:00:00,t
125,4,36,,,2019-02-12 00:00:00,t
126,4,186,5,184,2010-08-11 00:00:00,t
127,4,293,,,2017-12-16 00:00:00,t
128,4,202,,,2020-08-13 00:00:00,t
129,4,44,,,1992-02-22 00:00:00,t
130,4,8,,,1993-01-12 00:00:00,t
131,4,60,,,1993-03-13 00:00:00,t
132,4,159,,,2001-07-11 00:00:00,t
133,4,291,,,1998-12-14 00:00:00,t
134,4,305,,,1993-12-30 00:00:00,t
135,4,261,5,228,2007-11-09 00:00:00,t
136,4,172,,,2012-07-25 00:00:00,t
137,4,191,5,139,1998-08-18 00:00:00,t
138,4,199,5,173,2002-08-26 00:00:00,t
139,4,277,,,2017-11-27 00:00:00,t
140,4,337,5,,1975-12-23 00:00:00,t
141,4,113,,,2019-05-16 00:00:00,t
142,4,294,,,1989-12-18 00:00:00,t
143,4,194,,,2014-08-22 00:00:00,t
144,4,245,,,2014-10-21 00:00:00,t
145,4,303,5,121,1993-12-28 00:00:00,t
146,4,305,,,1993-12-30 00:00:00,t
147,4,48,,,1994-02-28 00:00:00,t
148,4,302,5,219,2000-12-29 00:00:00,t
149,4,302,5,211,2005-12-29 00:00:00,t
150,4,23,,,2019-01-28 00:00:00,t
151,4,75,,,2019-03-29 00:00:00,t
152,4,193,,,2001-08-21 00:00:00,t
153,4,245,,,2001-10-20 00:00:00,t
154,4,252,,,2019-10-26 00:00:00,t
155,4,301,,,2019-12-24 00:00:00,t
156,4,76,,,2000-03-31 00:00:00,t
157,4,233,5,55,2015-10-07 00:00:00,t
158,4,95,5,20,2017-04-24 00:00:00,t
159,4,144,5,31,2017-06-23 00:00:00,t
160,4,80,5,,1973-03-28 00:00:00,t
161,4,342,,,1979-12-17 00:00:00,t
162,4,37,,,1980-02-07 00:00:00,t
163,4,79,,,1944-11-09 00:00:00,t
164,4,58,5,38,2003-03-11 00:00:00,t
165,4,185,5,31,2016-08-09 00:00:00,t
166,4,173,,,2005-07-27 00:00:00,t
167,4,177,,,2005-08-01 00:00:00,t
168,4,41,,,2015-02-19 00:00:00,t
169,4,91,,,2015-04-20 00:00:00,t
