codtip,nomtip,bretip,recatt
1,Legge,L.,t
2,Decreto Legislativo,D.lgs.,t
3,Decreto Legge,D.l.,t
4,Gazzetta Ufficiale,G.U.,t
5,Supplemento Ordinario,S.O.,t
6,Regio Decreto,R.D.,t
7,profitto di rilevante entità o è derivato un danno di particolare gravità,,t
8,quando il fatto offende gli interessi finanziari dell’Unione europea,,t
9,aggravato ai sensi dell´articolo 319-bis quando dal fatto l´ente ha conseguito un profitto di rilevante entità,,t
10,se commesso in danno dello Stato o di altro ente pubblico o dell'Unione Europea,,t
11,Decreto del Presidente della Repubblica,D.P.R.,t
12,Solo relativamente al n. 5,,t
13,l´ente ha conseguito un profitto di rilevante entità,,t
14,l´ente o una sua unità organizzativa viene stabilmente utilizzato allo scopo unico o prevalente di consentire o agevolare la commissione dei reati,,t
15,nei casi di delitto per il quale e' stabilita la pena della reclusione superiore nel massimo a cinque anni,,t
16,quando i diritti di confine dovuti superano centomila euro,,t
17,Decreto Legislativo Luogotenziale,D.l.l.,t
